,dataset_params.dim,epochs,seed,set,MSE,MAPE
86,21,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2939513857918232,0.11962307806056806
87,21,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.207113606504865,0.1052206612284147
88,21,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.39612485330765823,0.06346001656707585
89,21,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2377029175825727,0.10635005805672938
90,21,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1877298069008886,0.10388242207783487
91,21,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.1985211597047006,0.04537216470002911
92,21,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.1774023341566928,0.10395183225228684
93,21,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.1906388097409697,0.10350346306094643
94,21,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.16206854510217797,0.04138729439073929
95,21,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.195046760979648,0.10413003822189139
96,22,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3927319391420165,0.119066638575563
97,22,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.750173373291417,0.08817771635118692
98,22,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3900827241064861,0.12291606499156653
99,22,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2761994570859343,0.10720978510699201
100,22,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.39676823382950305,0.06268935184907357
101,22,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2550220819691673,0.10611247485771914
102,22,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2384027765362382,0.10585274334049077
103,22,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.2460578899443482,0.0499280407967815
104,22,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2237979592133936,0.10475319699750354
105,22,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3089093307217132,0.10832243042260775
106,22,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.1769541456027543,0.042722116597749146
107,22,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2714915839949092,0.10694519105598868
108,23,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3984004684243616,0.1208695099181198
109,23,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.7091975504482237,0.0850283381181119
110,23,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3654408610930997,0.11924265537570325
111,23,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.317243484903201,0.1074770369749213
112,23,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.38959939339988275,0.06164734199479416
113,23,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3074426294779704,0.10816408403823548
114,23,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.2878491633687281,0.10639944201391788
115,23,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.23184911310852296,0.04801949003056327
116,23,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.2729724748229692,0.10618323209974553
117,23,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.333136556178284,0.1075631428906274
118,23,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.17914481073074154,0.04269258400853379
119,23,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3522634903024515,0.10851876581515607
120,24,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.4587142711105312,0.1222381268017436
121,24,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.7321540927651768,0.08655245437926858
122,24,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.4542899672585266,0.12102305821449995
123,24,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.334342800502916,0.1081803789139682
124,24,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.4069661782458526,0.06235393099076616
125,24,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3444120716278198,0.1089450395682454
126,24,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3212745308514873,0.1068396413297914
127,24,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.257990867039643,0.050208316464235375
128,24,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.324551129008867,0.10749201506976537
129,24,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3567975617031425,0.1087835353460938
130,24,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.15640658482360525,0.03963882117563892
131,24,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3911932654662862,0.11022637046545547
132,25,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.5042636462771726,0.12080004618995865
133,25,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.7238837533303113,0.08486054329842808
134,25,"200,model.hidden_dims=[320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.4721987687309739,0.11954768933166324
135,25,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3967520678733225,0.10912295360256469
136,25,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.3897289529573388,0.060630785173917526
137,25,"200,model.hidden_dims=[320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.4029675911881827,0.10942990362033116
138,25,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.3644688474681153,0.1076342020436894
139,25,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.24284944608565998,0.04815738255420509
140,25,"200,model.hidden_dims=[320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3561979228663248,0.1075215127104972
141,25,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,test,1.4206843166819585,0.10955685587036601
142,25,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,train,0.18223800215995567,0.04221789409425784
143,25,"200,model.hidden_dims=[320,320,320,320,320],model=effn_w5_d320,~neptune_cfg=null",777,val,1.3926250454822133,0.10870564402811465
