dataset_params.dim,dataset_params.n_samples,model.hidden_dims,model,seed,set,MSE,MAPE
3,50000,[20|20|20|20|20],effn_w5_d320,777,test,0.2669622154086099,0.088941004091157
3,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.2476168198047471,0.08502901765133329
10,50000,[40|40|40|40|40],effn_w5_d320,777,val,1.0477965719276183,0.12179682781213569
10,50000,[40|40|40|40|40],effn_w5_d320,777,test,1.1254450145563435,0.1270567358306017
10,50000,[40|40|40|40|40],effn_w5_d320,777,train,0.7405718652850295,0.10431501105450769
8,50000,[20|20|20|20|20],effn_w5_d320,777,val,1.0847260708210296,0.1385512814177072
8,50000,[20|20|20|20|20],effn_w5_d320,777,test,1.1314964413662771,0.1398884472545758
8,50000,[20|20|20|20|20],effn_w5_d320,777,train,0.9565044652904766,0.12877871134732755
14,50000,[20|20|20|20|20],effn_w5_d320,777,val,2.1212797142381628,0.166560998293665
14,50000,[20|20|20|20|20],effn_w5_d320,777,test,2.160944981789223,0.166376711085343
14,50000,[20|20|20|20|20],effn_w5_d320,777,train,1.9090702962019306,0.15722811511509371
15,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.318970022857884,0.12199099705441235
15,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.3056414510726282,0.12197292571638159
15,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.6047344328689684,0.08563446139194074
20,50000,[320|320|320|320|320],effn_w5_d320,777,val,1.1964808854588633,0.10558265819502603
20,50000,[320|320|320|320|320],effn_w5_d320,777,test,1.2413973989185045,0.10753061103229258
20,50000,[320|320|320|320|320],effn_w5_d320,777,train,0.18873685926125952,0.0452303925759422
13,50000,[80|80|80|80|80],effn_w5_d320,777,val,1.163901921358909,0.11850458334211189
13,50000,[80|80|80|80|80],effn_w5_d320,777,test,1.220597786190113,0.1211916599353948
13,50000,[80|80|80|80|80],effn_w5_d320,777,train,0.6012540376015993,0.0885118856807921
6,50000,[320|320|320|320|320],effn_w5_d320,777,val,0.4145560316101588,0.0864564265493476
